description,issue_type,key,labels,summary
"h1.  The Problem

Given the below code I would expect to get an error message back indicating that the test parameter didn't pass type validation but it instead causes failure in the function used in the parameter below. 

{code}
    function puppet_enterprise::calculate_log_temp_files(
      Variant[String, Integer] $work_mem,
    ) >> Integer {
      #work_mem is specified in kB if no memory unit is provided
      if $work_mem =~ /\A(\d+)(kB|MB|GB|TB)\Z/ {
    
        $wm_size = $work_mem.pe_size()
    
        $work_mem_integer = $work_mem[0, $wm_size - 2]
    
        $work_mem_suffix = $work_mem[$wm_size-2, $wm_size]
    
        $multiplier = $work_mem_suffix ? {
          'kb' => 1,
          'MB' => 1024,
          'GB' => 1024*1024,
          'TB' => 1024*1024*1024,
        }
    
        $log_temp_files = Integer($work_mem_integer * $multiplier)
      } else {
        $log_temp_files = Integer($work_mem)
      }
    }
    
    
    class my_class (
      Integer[64] $test,
      Integer     $blah = puppet_enterprise::calculate_log_temp_files($test),
    ) {
      #do things
    }
    
    class { 'my_class' :
      test => 63,
    }
{code}

Causes a failure like: 

{code}
    [root@master201811-centos ~]# puppet apply /tmp/test.pp
    Error: Evaluation Error: Left match operand must result in a String value. Got an Integer. (file: /tmp/test.pp, line: 5, column: 6) on node master201811-centos.puppetdebug.vlan
{code}

h1. Expected Behavior

If I fix the function so it doesn't fail then I get something like this which is the same thing I would expect since I don't expect the function to be evaluated if the first parameter doesn't pass type validation.  

{code}
    Error: Evaluation Error: Error while evaluating a Resource Statement, Class[My_class]:
      parameter 'test' expects an Integer[64] value, got Integer[63, 63]
{code}
",Bug,PUP-8728,[],A parameter that does not pass type validation can cause catalog compilation failure if used in the default expression of another parameter 
"Example resource:

{quote}user { 'dragos':
  ensure           => 'present',
  comment          => 'dragos',
  expiry           => '1970-01-01',
  gid              => '120',
  home             => '/home/dragos',
  password         => 'here-goes-a-hash',
  password_max_age => '99999',
  password_min_age => '0',
  shell            => '/bin/bash',
  uid              => '1003',
{quote}

If I'm setting the expiry via the manifests file as absent:

bq. expiry           => 'absent',

, will cause a --noop run to report that the current expiry value should be absent:

bq. Notice: /Stage[main]/XXX::dragos/User[dragos]/expiry: current_value 1970-01-01, should be absent (noop)

, while an actual run will report an invalid expiry value:

bq. Notice: /Stage[main]/XXX::dragos/User[dragos]/expiry: undefined 'expiry' from '1970-01-01'

The goal is to be able to remove the account expire date, for an account that already has a value set.
",Improvement,PUP-8727,"['help_wanted', 'linux', 'maintenance', 'triaged', 'user']",Unclear message when removing user expiry
"Required - newer masters supporting agent lookup and rich data types must be able to talk to newer agents which also support these features, and older agents that don't (content negotiation).",Task,PUP-8726,[],Agent Functions - Content negotiation of rich data types to old/new agents
Once PUP-8724 is complete audit against PuppetDB to ensure uniformity.,Task,PUP-8725,[],Agent Functions - Check Puppet Type Specifications against PDB 
Update/Create a specification of Puppet Types and their ranges.,Task,PUP-8724,[],Agent Functions - Create/Update specification of Puppet Types
"Create deferred evaluation that calls into Vault to retrieve secrets.  
 * What is the performance impact evaluation? 
 * Where's the performance impact?  Is it in Puppet?  Is it in Vault
 * What's the reference architecture for Vault deployment with Puppet?",Task,PUP-8723,[],Agent Functions - Create Vault deferred evaluation
Research ticket to understand and design Vault integration for Agent Lookup.,Task,PUP-8722,[],Agent Functions - Spike research Vault integration
Set up an internal server for testing. This just for initial implementation research.,Task,PUP-8721,[],Agent Functions - Set up Vault Server internally for testing
"This was brought up as a concern during our design session. 
 * What rich facts need to be added?
 * From rich facts stored in PuppetDB what will likely be queried so we can optimize

 ",Task,PUP-8720,[],Agent Functions - Research Adding rich facts
"There were some concerns about the implications rich data will have on reporting.  Examples:
 * Catalogs during compilation
 * Reports during the run
 * more..",Task,PUP-8719,[],Agent Functions - Research report implications of rich data
"Reach out to users in the field using the existing features.  Report back on functionality.
 * How is it being used?
 * What type of data is being stored?
 * What's working well?
 * What could use some improvement?
 * Are there any observed performance bottlenecks",Task,PUP-8718,[],Agent Functions - Gather feedback from users using rich data.
"Create/Update rich data format.  The assumption is that the Agent Lookup functionality will work with the current PuppetDB schema, but it needs further documentation.",Task,PUP-8717,[],Agent Functions - Document Rich Data format in PuppetDB
"After PUP-7398 was shipped with 5.4 and 2018.1, we can remove {{puppet module generate}} functionality completely for puppet6.",Improvement,PUP-8716,[],Remove puppet module generate functionality
"Since PUP-8501 at least the logstash reporter ([https://de.slideshare.net/pkill/puppetconf-2015-puppet-reporting-with-elasticsearch-logstash-and-kibana]) does not work anylonger. The puppetserver process will throw an error:
{code:java}2018-05-07 08:41:59,449 ERROR [qtp2051514142-117] [puppetserver] Puppet Failed to write to dashboard.puppet.syseleven.de on port 5603: undefined method `delete' for #<JSON::Ext::Generator::State:0x4da746a8> {code}
[https://github.com/elastic/puppet-logstash-reporter/blob/master/lib/puppet/reports/logstash.rb#L61]

 

The corresponding code that changed is the new monkey patched json.rb that is now used when using `require 'json'`, [https://github.com/puppetlabs/puppet/blob/6b5bb8aaaf1b54e025b2003d83844450a1800bf6/lib/puppet/util/json.rb#L72] is the line that is actually failing now.

 

 ",Bug,PUP-8715,[],monkey patched json.rb breaks code using json gem
"OS: Centos7 1804

Install: Puppet agent 5.5.1

Puppet Server: 5.3.1-1

systemd Config: ExecStart=/opt/puppetlabs/puppet/bin/puppet agent $PUPPET_EXTRA_OPTS --no-daemonize

Process: /opt/puppetlabs/puppet/bin/ruby /opt/puppetlabs/puppet/bin/puppet agent --no-daemonize

 

Problem:

After a network failure puppet agent try to connect to the puppet server (and it can not do it since there is a network problem) getting errror (it is expected): 

 Unable to fetch my node definition, but the agent run will continue:
Failed to open TCP connection to puppet5:8140 (getaddrinfo: Name or service noi known)

 

After network is back puppet runs every 30 mins but it still give the same error even though the network service is re-establish

I can telnet puppet 8140.

IF I run manually ""puppet agent -t"" it is successful but the systemd process is still failing.

If the systemd service runs normally it fails.

The ONLY option to make it work is to perform a ""systemctl restart puppet""

I perform a tcpdump on port 8140 but nothig is coming out of the systemd process, so it seems as it is stuck with its failure.

 

Expected Way of working:

After network recovery the  pupept agent should connect to the server. It works fine if doing manually and only solution is to restart the process which then works fine.",Bug,PUP-8714,"['daemon', 'networking', 'triaged']",Puppet Agent doesn't recover from network failure
"h2. Overview
Would like to be able to lock *and unlock* user accounts using puppet (or with manual unlock).

h2. See Summary
https://projects.puppetlabs.com/issues/219 from 8 years ago

h2.  Current workaround
Presently, users can lock a password by setting {{password => '*'}} or similar.  The problem with doing this is that the user cannot then be unlocked with {{passwd -u} as the above code will have destroyed the original password.

h2. Customer impact
While in many cases, its simple to reset a password rather then unlock it, there are cases, however-much we disapprove of them, where this could be a problem.

For example, where the password is being used remotely and is incorporated into other scripts and systems or where passwords are controlled by systems such as cyberark where the reset process is non-trivial or slow due to external process hardening.",New Feature,PUP-8713,"['linux', 'redmine', 'triaged', 'type_and_provider', 'user']",Would like to be able to lock (and unlock) users
"We added a deprecation warning when running {{puppet master}}, but if you run {{puppet master --configprint}} it exits before the deprecation warning is emitted. Since we're removing the master application in 6.0, we need to emit a deprecation warning in 5.y for the configprint case, and say to use {{puppet config print [setting] --section master}} instead. /cc [~nick.walker]",Task,PUP-8712,[],Add deprecation warning for puppet master --configprint
"Many modern infrastructures make use of key-value stores like Conjur by CyberArk, Consul and Vault by Hashicorp, or Apache Zookeeper. These services keep track of rapidly-changing information like the list of servers currently active in an application pool as well as provide a central, access-controlled distribution point for sensitive data like access tokens, login credentials, and encryption keys.

This epic tracks work towards a feature with the working title of ""Agent Lookups"", which provides a natural, intuitive interface to these services. The agent consults the service as it applies the catalog, providing credentials if needed, and injects the result of the lookup into the appropriate place on the host. ",Epic,PUP-8711,[],Implement Agent Functions to support secret lookups at catalog application time
"I'm a Puppet practitioner with tens of thousands of systems who wants to reduce load on my Puppet infrastructure, so I'm using use_cached_catalog = true. However, sometimes intrinsic information (facts) changes necessitate a new catalog. (Let's say state needs to change when uptime, free disk space or available memory crosses some threshold, but it could be any change in any fact)

I want to instruct puppet agents on one or more systems to watch specific facts, and if those cross some threshold, request a new catalog from the Puppet infrastructure (and not use the cached catalog). Continuing the earlier example, let's say we're watching disk free space. At the start, free disk space would be high and the cached catalog would be used exclusively. At some point, the free disk space would diminish and puppet would request a new catalog when the disk is 80% full. At 80% full, it would run with the new cached catalog for a period of time.  Let us assume that at some point, space frees up. When it crosses 80% going the other direction, the puppet agent would request a new catalog.

With respect to implementation, I don't know if this is something that would go into Puppet DSL (probably best option from a workflow/accountability perspective, or if it would go into the puppet agent as perhaps a config option (my assumption). 

The impact of this feature not being present is that Puppet users fall into bad habits with cached catalogs and run execs to check facter (or other values) as a sub-optimal way to accomplish what is being asked here.",New Feature,PUP-8710,[],Smarter cached catalogs
"The following puppet snippet results in endless recursion
{code:puppet}
type StringData = Variant[String, Numeric, Iterable[StringData], Hash[StringData, StringData]]
notice([1,2,3] =~ Iterable[StringData])
{code}

It should have noticed {{true}}",Bug,PUP-8709,"['Language', 'typesystem']",Iterable[T] with recursive type T results in endless recursion
"*Puppet Version:5.5.0*
 *Puppet Server Version:5.5.0*
 *OS Name/Version: Ubuntu:18.04*

While running the test cases using a root user I am facing below test case failure.
 Failures details:

1) Puppet::Type::File::ParameterSource#validate should strip trailing forward slashes
 Failure/Error: expect(resource[:source]).to eq(%w\{file:/foo/bar\\})

expected: [""file:/foo/bar\\""]
 got: [""file:///foo/bar\\""]

(compared using ==)
 # ./spec/unit/type/file/source_spec.rb:47:in `block (3 levels) in <top (required)>'
 # ./spec/unit/type/file/source_spec.rb:13:in `block (3 levels) in <top (required)>'
 # ./lib/puppet/context.rb:65:in `override'
 # ./lib/puppet.rb:260:in `override'
 # ./spec/unit/type/file/source_spec.rb:12:in `block (2 levels) in <top (required)>'

Finished in 22.97 seconds (files took 4.05 seconds to load)
3500 examples, 1 failure, 1 pending

Failed examples:

rspec ./spec/unit/type/file/source_spec.rb:45 # Puppet::Type::File::ParameterSource#validate should strip trailing forward slashes

 

 

Please let me know how do I proceed further or if anything more needs to be done.

Thanks in Advance",Bug,PUP-8708,[],Test Case Failure Encountered
"This epic contains tickets related to the new REST client we are adding to Puppet, backed by the third-party [HTTPClient gem|https://github.com/nahi/httpclient].",Epic,PUP-8706,[],HTTPClient in Puppet
"Currently, Puppet::Rest::Client does not do any SRV lookups, unlike the other indirector-based HTTP client in Puppet. We need to implement this, once we fully understand the tradeoffs between performance and the need to restrict caching due to the nature of SRV lookups.

A quick look at the current implementation (https://github.com/puppetlabs/puppet/blob/master/lib/puppet/indirector/request.rb#L187-L197 and https://github.com/puppetlabs/puppet/blob/master/lib/puppet/network/resolver.rb#L8-L41) makes it look as though DNS::Resolv objects and SRV lookups are performed on every request. We need to evaluate whether this is necessary, or more could be done to cut down on work that must be done per-request.",Task,PUP-8705,[],Add SRV record support to Puppet::Rest::Client
"*Puppet Version:* Anything since 4.0.0-rc1
*Puppet Server Version:* n/a
*OS Name/Version:* n/a

In code inspection we found that {{to_hierayaml}} does not properly escape the resource's title in https://github.com/puppetlabs/puppet/blob/c99148fc86bfb7da15947e9f70aab2a3b55f941b/lib/puppet/resource.rb#L429

*Desired Behavior:*

{{puppet resource --to_yaml exec ""/bin/echo foo: bar""}} creates valid YAML output.

*Actual Behavior:*

{{puppet resource --to_yaml exec ""/bin/echo foo: bar""}} creates invalid YAML output:

{code}
david@davids:~/git/puppet-resource_api$ puppet resource --to_yaml exec ""/bin/echo foo: bar""
exec:
  /bin/echo foo: bar:
    returns: 'notrun'
david@davids:~/git/puppet-resource_api$ puppet resource --to_yaml exec ""/bin/echo foo: bar"" | ruby -ryaml -e 'puts YAML.parse(STDIN).inspect'
Traceback (most recent call last):
	3: from -e:1:in `<main>'
	2: from /usr/lib/ruby/2.5.0/psych.rb:350:in `parse'
	1: from /usr/lib/ruby/2.5.0/psych.rb:402:in `parse_stream'
/usr/lib/ruby/2.5.0/psych.rb:402:in `parse': (<unknown>): mapping values are not allowed in this context at line 2 column 21 (Psych::SyntaxError)
david@davids:~/git/puppet-resource_api$ 
{code}

The Resource API has fixed that in https://github.com/puppetlabs/puppet-resource_api/pull/77/commits/478c9254238749d9af8a1633b53f95ed1a01dcde",Bug,PUP-8704,[],resource.rb: to_hierayaml does not escape the title
"The {{Numeric}} data type when given the string ""0"" will fail because it attempts to look at the second char in the string - if it is a downcased 'b' or 'x' - and this fails since there is nothing to downcase.",Bug,PUP-8703,[],Numeric('0') raises an error
"The existing HTTP client code in Puppet had the capability to stream responses bolted on fairly late. For this new client, we should make sure that streaming is built into the design. HTTPClient provides an API for chunking responses (https://github.com/nahi/httpclient/blob/master/lib/httpclient.rb#L69-L73) that we should be able to incorporate fairly easily. Because it does not return a raw response object, but rather checks status internally and throws an error if the response is bad, this will require us to change the way we do error handling, which is another argument (besides the obvious one around safety) for having all responses be streamed.",Improvement,PUP-8702,[],Allow (or maybe require) responses to be streamed from Puppet::Rest::Client
"*Puppet Version: 5.5*
 *Puppet Server Version:2018.1*
 *OS Name/Version: all*

Describe your issue in as much detail as possible…
`puppet help help help help help` is an ages old 'feature' of puppet help, it's an awesome ice breaker and demo tool for tasks etc. 

 

In seriousness the fix is incorrect it allows you to run:
puppet help
puppet help help
puppet help help help
puppet help help help help 

with no error and just the help page being served it only serves the error at the 5th help?

*Desired Behavior:*

Put it back, `puppet help help help help help` should render asci image
{code}$ puppet help help help help help

                 %%%%
                %%%%-(
              _%%%%%_/                        \ ' /
            _%%%%%%%%                        - (_) -
          _%%%%%%%/ \%                        / , \
         %%%%%%%%%\\ \_
           %%%%%%   \ \\
               )    /\_/
             /(___. \
             '----' (
            /       )
---....____/        (_____ __ _ ___ ___ __ _ _ _____ _ _ ___
          /         )---...___ =-= = -_= -=_= _-=_-_ -=- =-_
        ,'          (         ```--.._= -_= -_= _-=- -_= _=-
     ,-'            )                 ``--._=-_ =-=_-= _-= _
     '-._    '-..___(                       ``-._=_-=_- =_-=
         ``---....__)                            `-._-=_-_=-
               )|)|                                  `-._=-_
    gnv       '-'-.\_                                    `-.

    RELAX, TODAY IS THE FIRST DAY OF THE REST OF YOUR LIFE.

Error: Puppet help only takes two (optional) arguments: a subcommand and an action
Error: Try 'puppet help help help' for usage
{code}
puppet help help should render with colorization or with error to direct people to use the command on another subcommand. 

puppet help help help help help help ... should render warning

*Actual Behavior:*

nice error message appears 
{code:java}root@master:~ # puppet help help help help help
Error: The 'puppet help' command takes two (optional) arguments: a subcommand and an action
Error: Try 'puppet help help help' for usage {code}
 ",Bug,PUP-8701,[],Update to Puppet help in PUP-8646 removed 'help easter egg'; please put it back!
"*Puppet Version: 5.5.1*
 *Puppet Server Version: N/A*
 *OS Name/Version: Centos 7.4.1708*

Many `puppet` applications such as `puppet facts` and `puppet catalog` take a `–terminus` option to specify what indirector to use. These applications generally also specify a `–extra` argument, like so:

`--extra HASH                  - Extra arguments to pass to the indirection request`

As far as I can determine, this argument is not actually possible to use, since any argument supplied to the `–extra` option is treated by Ruby as a String. For example, `puppet facts --terminus network_device --extra '\{target => ""example-device""}'` results in `Error: Could not call 'find' on 'facts': undefined method `inject' for ""\{target => \""example-device\""}"":String`

The same results are had when trying other hash-ish syntaxes such as JSON or key-value pairs.

If there's some existing syntax that will actually work here, it should be documented. But I had a look through the source code, and I don't think any such syntax exists.

Describe steps to reproduce…

`puppet facts --terminus network_device --extra <anything at all here>`

*Desired Behavior:*

**The `–extra` argument should function, or should be removed.

*Actual Behavior:*

 

```

$ sudo puppet facts --terminus network_device --extra '\{target => ""example-device""}' --trace
Error: Could not call 'find' on 'facts': undefined method `inject' for ""\{target => \""example-device\""}"":String
Did you mean? inspect
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/request.rb:68:in `initialize'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:115:in `new'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:115:in `request'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:187:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/face.rb:46:in `call_indirection_method'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/face.rb:84:in `block (2 levels) in <class:Face>'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/interface/action.rb+eval[wrapper]:264:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application/face_base.rb:247:in `main'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:383:in `run_command'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:375:in `block in run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util.rb:661:in `exit_on_fail'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:375:in `run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/command_line.rb:137:in `run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/command_line.rb:73:in `execute'
/opt/puppetlabs/puppet/bin/puppet:5:in `<main>'
Error: Could not call 'find' on 'facts': undefined method `inject' for ""\{target => \""example-device\""}"":String
Did you mean? inspect
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/request.rb:68:in `initialize'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:115:in `new'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:115:in `request'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/indirection.rb:187:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/face.rb:46:in `call_indirection_method'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/indirector/face.rb:84:in `block (2 levels) in <class:Face>'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/interface/action.rb+eval[wrapper]:264:in `find'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application/face_base.rb:247:in `main'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:383:in `run_command'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:375:in `block in run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util.rb:661:in `exit_on_fail'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/application.rb:375:in `run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/command_line.rb:137:in `run'
/opt/puppetlabs/puppet/lib/ruby/vendor_ruby/puppet/util/command_line.rb:73:in `execute'
/opt/puppetlabs/puppet/bin/puppet:5:in `<main>'
Error: Try 'puppet help facts find' for usage

```",Bug,PUP-8700,['commandline'],--extra cli option is nonfunctional
"Much like `puppet device --resource` roughly provides the behavior of `puppet resource` for network devices, there should be a `puppet device --facts` command that provides a feature analogous to `puppet facts`, but for network devices.",New Feature,PUP-8699,[],puppet device application should support outputting facts
